title,console,genre,na_sales,release_date,day2,day3,day4,day5,day6,day7
Labyrinth of Refrain Coven of Dusk,PS4,Action,0.01,2018-09-18,2018-09-19,2018-09-20,2018-09-21,2018-09-22,2018-09-23,2018-09-24
Jagged Alliance Rage,XOne,Strategy,0.01,2018-12-07,2018-12-08,2018-12-09,2018-12-10,2018-12-11,2018-12-12,2018-12-13
This Is the Police 2,NS,Strategy,0.01,2018-09-25,2018-09-26,2018-09-27,2018-09-28,2018-09-29,2018-09-30,2018-10-01
Flipping Death,NS,Adventure,0.01,2018-10-16,2018-10-17,2018-10-18,2018-10-19,2018-10-20,2018-10-21,2018-10-22
God Wars The Complete Legend,NS,Strategy,0.01,2018-09-04,2018-09-05,2018-09-06,2018-09-07,2018-09-08,2018-09-09,2018-09-10
Crayola Scoot,PS4,Sports,0.01,2018-10-16,2018-10-17,2018-10-18,2018-10-19,2018-10-20,2018-10-21,2018-10-22
Yokus Island Express,XOne,Action,0.01,2018-06-19,2018-06-20,2018-06-21,2018-06-22,2018-06-23,2018-06-24,2018-06-25
Nobunagas Ambition Taishi,PS4,Strategy,0.01,2018-06-05,2018-06-06,2018-06-07,2018-06-08,2018-06-09,2018-06-10,2018-06-11
Crayola Scoot,NS,Sports,0.01,2018-10-16,2018-10-17,2018-10-18,2018-10-19,2018-10-20,2018-10-21,2018-10-22
Crayola Scoot,XOne,Sports,0.01,2018-10-16,2018-10-17,2018-10-18,2018-10-19,2018-10-20,2018-10-21,2018-10-22
Legendary Fishing,NS,Sports,0.01,2018-09-18,2018-09-19,2018-09-20,2018-09-21,2018-09-22,2018-09-23,2018-09-24
Adventure Time Pirates of the Enchiridion,NS,Adventure,0.01,2018-07-17,2018-07-18,2018-07-19,2018-07-20,2018-07-21,2018-07-22,2018-07-23
Adventure Time Pirates of the Enchiridion,PS4,Adventure,0.01,2018-07-17,2018-07-18,2018-07-19,2018-07-20,2018-07-21,2018-07-22,2018-07-23
